/home/leo/leo/emotionsClassifier/datasets/turkish/
1.wav   1.300000
2.wav   0.600000
3.wav   1.660000
4.wav   1.240000
5.wav   0.460000
6.wav   0.540000
7.wav   1.000000
8.wav   0.840000
9.wav   1.160000
10.wav  3.080000
11.wav  1.200000
12.wav  0.460000
13.wav  1.580000
14.wav  0.740000
15.wav  0.540000
16.wav  1.480000
17.wav  0.520000
18.wav  0.680000
19.wav  0.980000
20.wav  0.600000
21.wav  0.560000
22.wav  1.760000
23.wav  1.780000
24.wav  1.280000
25.wav  0.820000
26.wav  0.620000
27.wav  1.840000
28.wav  1.240000
29.wav  1.260000
30.wav  1.360000
31.wav  1.940000
